author,nid,affiliation,google_scholar_ID
Pamela Karlan,9203,Missing,Missing
Pamela Loprest,8925,"Senior Fellow, Urban Institute","""5HDMYKIAAAAJ"""
Patricia A. Roos,9205,Missing,Missing
Patrick Joyce,9207,"Emeritus Professor of History, Manchester University","""nwXS3LoAAAAJ"""
Paul M. De Graaf,9210,Tilburg University,"""WvaJ-9IAAAAJ"""
Paul Oyer,9211,"Professor of Economics, Stanford GSB","""4ClUgIwAAAAJ"""
Paul M. Sniderman,8927,Missing,Missing
Paulla Ebron,8929,Missing,Missing
Peter Cookson,8930,No affiliations available,Missing
Peter T. Gottschalk,9221,NaN,"""w4WeO5MAAAAJ"""
Peter Stone,9220,"Professor of Computer Science, The University of Texas at Austin","""qwq7c4wAAAAJ"""
Petra Persson,8932,"Assistant Professor of Economics, Stanford University; Research Institute of Industrial ‚Ä¶","""eR5T3G4AAAAJ"""
Rachel M. Friedberg,9227,Brown University,"""g5h8Cm4AAAAJ"""
Rachel Lotan,9226,"Professor (Teaching), Education Stanford University","""cSZAlBcAAAAJ"""
Raj Chetty,8934,"Professor of Economics, Harvard University","""PhDDPiUAAAAJ"""
Randy Hodson,9229,"Professor of Sociology, Ohio State University","""TaEyXScAAAAJ"""
Ray Pahl,9231,Missing,Missing
Rebecca M. Blank,8938,Missing,Missing
Rebecca Diamond,8936,"Professor of Economics, Stanford GSB","""ZbYGzLcAAAAJ"""
Rebecca L. Sandefur,8937,"Professor, School of Social and Family Dynamics, Arizona State University; Faculty Fellow ‚Ä¶","""8p_GN2AAAAAJ"""
Reinhard Pollak,9233,"Professor of Soziologie, University of Mannheim and Scientific Director at GESIS Leibniz ‚Ä¶","""pu5xwXEAAAAJ"""
Reynolds Farley,9234,Missing,Missing
Richard Arum,8939,"Professor, UC Irvine","""xt0cQ_oAAAAJ"""
R. Richard Banks,8933,"Emeritus, USGS, Dept. Vertebrate Zoology, National Museum of Natural History; ‚Ä¶","""K7EeALkAAAAJ"""
Richard J. Murnane,9237,Harvard University,"""jt7FRXwAAAAJ"""
Richard Saller,9238,"Professor of Classics and History, Stanford University","""pUhpvVwAAAAJ"""
Rick Fantasia,9241,Missing,Missing
Rob Reich,8942,"Professor of Political Science, Stanford University","""g4wULUsAAAAJ"""
Robert Althauser,9243,Missing,Missing
Robert Erikson,9247,NaN,"""EQcjFf8AAAAJ"""
Robert Haveman,8944,Missing,Missing
Robert Kaufman,9250,NaN,"""9A_JA98AAAAJ"""
Robert Max Jackson,9251,"Douglas Provostial Professor, Stanford University",Missing
Robert H. Topel,9248,Isidore & Gladys Brown Distinguished Service Professor of Economics,"""j8XXmAEAAAAJ"""
Ron Haskins,8949,Missing,Missing
Ronald L. Breiger,9259,"Regents' Professor, University of Arizona, School of Sociology","""yAyrk0cAAAAJ"""
Ronald M. Dworkin,9260,Missing,Missing
Ross M. Stolzenberg,9261,"Professor of Sociology, The University of Chicago","""fD8LEm0AAAAJ"""
Rucker C. Johnson,8950,Missing,Missing
Sara Kimberlin,8952,Missing,Missing
NA,NA,"professor of sociology and public affairs, Princeton University","""Wp5P5TwAAAAJ"""
Sarah L. Jain,9267,Missing,Missing
Scott Eliason,9269,Missing,Missing
J. Scott Long,9081,NaN,Missing
Shu-Ling Tsai,9272,Missing,Missing
Signe-Mary McKernan,8959,Missing,Missing
Solomon Polachek,9275,"Distinguished Professor, State University of New York at Binghamton (Binghamton ‚Ä¶","""QoNf30UAAAAJ"""
Stanley Lieberson,9277,Missing,Missing
Stefano DellaVigna,9279,"Professor of Economics, UC Berkeley","""AMBZL7YAAAAJ"""
Sudhir A. Venkatesh,9285,"sociology & committee on global thought, columbia university","""P37M-XYAAAAJ"""
Suzanne Model,9289,Missing,Missing
Tak Wing Chan,9291,NaN,"""O7OzM5wAAAAJ"""
Ted Mouw,9293,"Associate Professor of Sociology, University of North Carolina-Chapel Hill","""-CdBWDoAAAAJ"""
Terry Karl,9294,Missing,Missing
Terry Winograd,8967,Missing,Missing
Theda Skocpol,9295,Missing,Missing
Theodore R. Marmor,9296,Missing,Missing
Thomas D. Cook,8968,"Professor of Sociology, Psychology and Education, Northwestern University","""TCpyDZMAAAAJ"""
Thomas A. DiPrete,9297,Missing,Missing
Thomas J. Espenshade,9298,Missing,Missing
Thomas Lemieux,9299,"Professor of Economics, University of British Columbia","""eOH397kAAAAJ"""
Thomas E. MaCurdy,8969,No affiliations available,"""8La-UdMAAAAJ"""
Tim Biblarz,9300,University of Southern California,"""8qPkktAAAAAJ"""
Timothy M. Smeeding,8972,La Follette School of Public Affairs,"""6K26nO8AAAAJ"""
Toby L. Parcel,9301,North Carolina State University,"""OfLZppsAAAAJ"""
Sir Tony Atkinson,9274,No affiliations available,"""QgmO3FAAAAAJ"""
Valerie Purdie-Vaughns,9305,"Assistant Professor of Psychology, Columbia University","""Liqk07wAAAAJ"""
Vered Kraus,9306,"University of Haifa, Sociology Department",Missing
Victor Fuchs,9307,Missing,Missing
Victor Nee,9309,"Frank and Rosa Rhodes Professor of Economic Sociology, Cornell University","""7oB1wEgAAAAJ"""
Walter Korpi,9312,"Professor of Social Policy, Stockholm University","""YoXqv_oAAAAJ"""
Walter W. Powell,8976,Stanford University,"""T7Q62kgAAAAJ"""
Walter Scheidel,9314,"Dickason Professor in the Humanities, Stanford University","""IVnwurkAAAAJ"""
William T. Bielby,9318,"University of Illinois, Chicago and UC Santa Barbara","""DqRy-3wAAAAJ"""
William I. Brustein,9317,Missing,Missing
William Julius Wilson,8977,NaN,"""Ity_nk4AAAAJ"""
Xueguang Zhou,9319,"Professor of Sociology, Stanford University","""zUfZV2IAAAAJ"""
Yana Kucheva,8978,The City College of New York,"""7gqLlK4AAAAJ"""
Yu-Ling Chang,9393,National Taiwan University,"""PKJ_mM4AAAAJ"""
Zephyr Frank,9321,Missing,Missing
Kim Voss,9136,No affiliations available,"""344xoL0AAAAJ"""
Stanley Aronowitz,9276,Missing,Missing
Elizabeth Peters,8837,Missing,Missing
Emily Hannum,9038,University of Pennsylvania,"""kb-nhPoAAAAJ"""
Francis A. Pearman,10242,Stanford University,"""5_Yl34sAAAAJ"""
Gordon B. Dahl,9057,"Professor of Economics, University of California, San Diego","""nKursZ8AAAAJ"""
Hans-Peter Blossfeld,9063,Prof. f√ºr Soziologie Universit√§t Bamberg & Prof. of Sociology European University Institute,"""F0kCgy8AAAAJ"""
Jennifer Hochschild,9098,"Professor of Government, Harvard University","""qJ9ZylcAAAAJ"""
Joscha Legewie,8880,NaN,"""fOp4myYAAAAJ"""
Lance Lochner,9138,University of Western Ontario,"""F9VLNqUAAAAJ"""
Mark Granovetter,9160,"Department of Sociology, Stanford University","""OlKVqZ8AAAAJ"""
Van C. Tran,8975,CUNY Graduate Center,"""iS5IxqcAAAAJ"""
Tali Kristal,9292,University of Haifa,"""whTB4xEAAAAJ"""
Erica M. Field,9042,Missing,Missing
Mario Luis Small,9159,Missing,Missing
Matissa Hollister,9173,Missing,Missing
Richard Thompson Ford,9240,Professor Emeritus | Earth & Environmental Sciences | Weber State University,Missing
Robert J. Flanagan,9249,Missing,Missing
Sandra Susan Smith,9266,Missing,Missing
Eunice Rodriguez,8842,Pediatrics at Stanford Medical School,Missing
Alejandro Portes,8996,"Sociology, Princeton University","""P7ocv9gAAAAJ"""
Benoit Monin,8785,Stanford University,"""eQNyi-YAAAAJ"""
Chinhui Juhn,8803,"Professor of Economics, University of Houston","""IwyXcIEAAAAJ"""
Dalton Conley,8812,Henry Putnam University Professor of Sociology,"""7y6DzMgAAAAJ"""
Eric Grodsky,8840,Professor of Sociology,"""WT0vZX4AAAAJ"""
Jennifer Hunt,9099,"Professor of Economics, Rutgers University","""oyC5kmgAAAAJ"""
Josiah Ober,9119,"Professor of Political Science and Classics, Stanford University","""SCLPQO4AAAAJ"""
Karl Ulrich Mayer,9127,"Stanley B. Resor Emeritus Professor of Sociology, Yale University; Director Emeritus, Max ‚Ä¶","""iuzu9xwAAAAJ"""
Kazimierz Slomczynski,9129,"Professor Emeritus, The Ohio State University, Professor at the Polish Academy of Sciences","""Anehf8AAAAAJ"""
Kim Weeden,8888,"Sociology, Cornell University","""faevrwEAAAAJ"""
Maria Charles,9156,"Professor of Sociology, University of California - Santa Barbara","""bC4Fn64AAAAJ"""
Maya Rossin-Slater,10282,"Associate Professor, Stanford Health Policy, Stanford School of Medicine","""vuOKLC4AAAAJ"""
Patrick Heuveline,9206,"Professor, Sociology and International Institute, UCLA","""GTd34GsAAAAJ"""
Peter Kuhn,9219,NaN,"""DcemOsgAAAAJ"""
Rajeev Dehejia,9228,NaN,"""-lqU10oAAAAJ"""
Robin Samuel,9253,"Associate Professor, University of Luxembourg","""m6R07ygAAAAJ"""
Susanna Loeb,9287,Brown University,"""RUtLWRcAAAAJ"""
Torben Iversen,9302,"Professor of Government, Harvard University","""owaInOUAAAAJ"""
Alan M. Garber,8759,No affiliations available,"""tLEpp5QAAAAJ"""
Ann Owens,8769,"Sociology, University of Southern California","""T05VsSsAAAAJ"""
Christina Gathmann,8804,"University of Luxembourg, Economics Department",Missing
Heidi Hartmann,9068,Missing,Missing
Jack Shonkoff,8864,Missing,Missing
Larry Bumpass,9140,Missing,Missing
Michael Pergamit,8912,Missing,Missing
Roberta Katz,8947,Missing,Missing
Susan Olzak,8963,Missing,Missing
Sylvia Yanagisako,9290,Missing,Missing
Trudi Renwick,8974,Missing,Missing
Guadalupe Valdes,9059,"Professor of Education, Stanford University","""sfkluXUAAAAJ"""
Herbert J. Gans,9072,"Professor of Sociology, Columbia University","""b0XNDVkAAAAJ"""
Jan O. Jonsson,9087,NaN,"""ttFdh2AAAAAJ"""
Josh Pacewicz,9333,"Brown University, Sociology","""Fk5SVHsAAAAJ"""
Matthew Hall,8909,NaN,"""swvOzHwAAAAJ"""
Peter J. Hammond,9218,"Professor of Economics, University of Warwick","""HZiIviEAAAAJ"""
Prudence L. Carter,9225,"Professor of Sociology, Brown University","""HZzSh7wAAAAJ"""
Raymond McDermott,8935,No affiliations available,"""rti6FEkAAAAJ"""
Ronald D. Lee,9258,"Professor of Demography and Economics, Univ Calif Berkeley","""pALctakAAAAJ"""
Shelley Correll,8958,Stanford University,"""SVYwyNMAAAAJ"""
Yossi Shavit,9360,"Professor (Emeritus) of Sociology, Tel Aviv University","""brfWXKMAAAAJ"""
Peter A. Swenson,9215,Yale University,"""4CDYXB0AAAAJ"""
Linda Darling-Hammond,9144,No affiliations available,"""I0QihpsAAAAJ"""
Jonas Pontusson,9114,"Professor of Comparative Politics, Universit√© de Gen√®ve","""J37dQFoAAAAJ"""
Mark Western,9161,The University of Queensland,"""Joj1vysAAAAJ"""
Ruud Luijkx,9262,Associate Professor at Tilburg University / Visiting Professor at Trento University,"""2vaELsQAAAAJ"""
Brian Lowery,8787,Missing,Missing
Markus Gangl,9162,Missing,Missing
Saskia Sassen,9268,Missing,Missing
Aliya Saperstein,8762,"Associate Professor of Sociology, Stanford University","""KPaSND8AAAAJ"""
Bruce Western,8792,Columbia University,"""nmhROwkAAAAJ"""
Claudia Goldin,8808,No affiliations available,"""XK_7TgUAAAAJ"""
Geoffrey Evans,9051,"Nuffield College, Oxford","""joGAUS4AAAAJ"""
Jeff Manza,9093,"Professor of Sociology, New York University","""K2hMn3AAAAAJ"""
Kathryn Edin,8884,"Bloomberg Distinguished Professor, Johns Hopkins University","""gVxDMkQAAAAJ"""
Markus Mobius,9163,Microsoft Research,"""RUTPdHcAAAAJ"""
Mitchell Stevens,8918,NaN,"""7lcn4uAAAAAJ"""
Robert M. Hauser,8946,NaN,"""fJG_BVgAAAAJ"""
Robert Charles Lieberman,9244,"Krieger-Eisenhower Professor of Political Science, Johns Hopkins University","""WW4kMtQAAAAJ"""
Sarah Burgard,8954,University of Michigan,"""YUEnyCwAAAAJ"""
Shamus Khan,8956,Princeton University,"""lRnp80sAAAAJ"""
David Neumark,9021,"Distinguished Professor of Economics, UCI; Co-Director, CPIP","""Jh-oGMwAAAAJ"""
Jeanne Brooks-Gunn,9092,No affiliations available,"""FPDAb6EAAAAJ"""
H. Luke Shaefer,8858,University of Michigan,"""SqTpWUkAAAAJ"""
Richard A. Easterlin,9235,"University Professor and Professor of Economics, University of Southern California","""pBYzJL8AAAAJ"""
Martin Carnoy,8904,"Professor of Education and Economics, Stanford University","""V1sUopIAAAAJ"""
Paula Moya,9213,"Professor of English, Stanford University","""eI_zEQ4AAAAJ"""
Rogers Brubaker,9256,"Professor of Sociology, UCLA","""whihIW8AAAAJ"""
Sandra E. Black,9265,NaN,"""j9E1FvMAAAAJ"""
Jeremy Freese,8873,Stanford University,"""-SPDJL0AAAAJ"""
John Van Reenen,9113,MIT Department of Economics and Sloan Management School,"""EhUkIPEAAAAJ"""
Jon A. Krosnick,8878,Stanford University,"""9stdemgAAAAJ"""
Shanto Iyengar,9271,Stanford University,"""5d7KbbAAAAAJ"""
Anthony Giddens,9001,Missing,Missing
Claude Steele,9011,Missing,Missing
David W. Galenson,9022,Missing,Missing
Janet Gornick,8868,Missing,Missing
Marta Tienda,9165,Missing,Missing
Samuel R. Lucas,9264,"School of Sport, Exercise and Rehabilitation Sciences & Centre for Human Brain Health ‚Ä¶",Missing
Martha Nussbaum,9166,Missing,Missing
Akhil Gupta,8757,NaN,"""PZaJ3mgAAAAJ"""
Arne L. Kalleberg,9002,"Kenan Distinguished Professor of Sociology, University of North Carolina","""A3B90V8AAAAJ"""
Bruce D. Meyer,8790,"Professor, Harris School, University of Chicago","""t1KqozwAAAAJ"""
Christopher Jencks,8807,No affiliations available,"""0BSEAb8AAAAJ"""
David Johnson,8984,University of Michigan,"""eYqjMLMAAAAJ"""
Gary N. Marks,9047,"Burton Craige Professor of Political Science, UNC-Chapel Hill","""26PKgtoAAAAJ"""
Gavin Jones,8852,No affiliations available,"""kHQGRSkAAAAJ"""
Greg J. Duncan,8855,"Distinguished Professor of Education, University of California, Irvine","""Hg2FyqkAAAAJ"""
Haya Stier,9065,Tel Aviv University,"""xiRrWuwAAAAJ"""
Irene Lo,9756,No affiliations available,"""QVd3CugAAAAJ"""
Isabela Mares,9077,Arnold Wolfers Professor of Political Science Yale University,"""AzOSE2oAAAAJ"""
Jeffrey Henig,9095,"Teachers College, Columbia University","""4V0B4vgAAAAJ"""
John J. Donohue III,9108,NaN,"""B5JbqaQAAAAJ"""
Judith Lorber,9121,No affiliations available,"""KzXaIIMAAAAJ"""
Justin Wolfers,9125,"Professor of Economics and Public Policy, University of Michigan","""x6fNSxcAAAAJ"""
Karen Cook,9126,Professor of Sociology Stanford University,"""0LkVRfUAAAAJ"""
Kevin Lang,9134,"Professor of Economics, Boston University","""Fkek1KYAAAAJ"""
Mark Duggan,8901,"Professor of Economics, Stanford University","""adqvICAAAAAJ"""
Martin Gilens,9168,Princeton University,"""oEh1HxwAAAAJ"""
Nathaniel Hendren,8922,Harvard University,"""XUPIOr4AAAAJ"""
Paul Beaudry,9208,Professor of Economics University of British Columbia,"""3lEqgdEAAAAJ"""
Paul Peterson,9212,NaN,"""tDy1XXAAAAAJ"""
Phillip Levine,9224,Wellesley College,"""39HKhvoAAAAJ"""
Robin Burgess,9252,London School of Economics,"""q1sCjXgAAAAJ"""
Stephen H. Haber,9280,"Professor of Political Science, Stanford University","""twVaEW4AAAAJ"""
Teresa D. LaFromboise,8965,Stanford University,"""ieDceFYAAAAJ"""
Terry M. Moe,8966,"Professor, Stanford University","""2oNRRBUAAAAJ"""
Tomas Jimenez,8973,NaN,"""0JdDY6YAAAAJ"""
